과목명,교수,전공,강의실,요일,강의시간
화학및실험2,김기준, 미래에너지공학,공B368,월,13-16
화학및실험2,김기준, 미래에너지공학,이101,화,09-12
화학및실험2,정재환, 미래에너지공학,공B352,화,05-08
화학및실험2,정재환, 미래에너지공학,이103,목,05-08
경제원론,박재민," 기술경영학과, 경영",e-러닝,,
공학물리,하동호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B560,화,01-03
공학물리,하동호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B560,목,04-06
공학물리,하동호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B560,화,04-06
공학물리,하동호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B560,목,01-03
공학물리,추프랑솨," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B567,화,01-03
공학물리,추프랑솨," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B567,목,04-06
일반화학2,김성현, 시스템생명공학,생101,화,01-03
일반화학2,김성현, 시스템생명공학,생101,목,04-06
일반화학2,윤성욱, 화장품공학,공B456,화,09-14
기초통계학,국세정," 건축설계, 건축공학, 주거환경, 건축, 건축학부",건252,화,10-12
기초통계학,국세정," 건축설계, 건축공학, 주거환경, 건축, 건축학부",건251,목,07-09
기초통계학,국세정," 건축설계, 건축공학, 주거환경, 건축, 건축학부",건251,화,07-09
기초통계학,국세정," 건축설계, 건축공학, 주거환경, 건축, 건축학부",건251,목,10-12
기초통계학,최이선," 정치외교학과, 경제학과, 행정학과, 국제무역학과, 응용통계학과, 융합인재학과, 글로벌비즈니스학과",상허관222,월,07-12
기초통계학,오유진," 정치외교학과, 경제학과, 행정학과, 국제무역학과, 응용통계학과, 융합인재학과, 글로벌비즈니스학과",상허관217,수,13-18
생화학,김광은, 의생명공학,동309,월,09-11
생화학,김광은, 의생명공학,생101,수,13-15
수치해석,권지향," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",새401,월,07-09
수치해석,권지향," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",새504,수,07-09
수치해석,홍기호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",새502,월,07-09
수치해석,홍기호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B559-1,수,07-09
수치해석,추프랑솨," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B156,월,07-09
수치해석,추프랑솨," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B564,수,07-09
수치해석,나양," 항공우주정보시스템공학과, 기계공학부, 기계항공공학부",공A406,월,01-03
수치해석,나양," 항공우주정보시스템공학과, 기계공학부, 기계항공공학부",공A406,수,01-03
수치해석,나양," 항공우주정보시스템공학과, 기계공학부, 기계항공공학부",공A406,월,04-06
수치해석,나양," 항공우주정보시스템공학과, 기계공학부, 기계항공공학부",공A406,수,04-06
수치해석,구남서," 항공우주정보시스템공학과, 기계공학부, 기계항공공학부",공B165,월,04-06
수치해석,구남서," 항공우주정보시스템공학과, 기계공학부, 기계항공공학부",공B165,수,04-06
수치해석,권윤기," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",새203,월,07-09
수치해석,권윤기," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",새203,금,16-18
수치해석,이상현, 생물공,공B551,월,04-06
수치해석,이상현, 생물공,공B551,화,04-06
유기화학,김병수, 수의예과,온라인(실시간,화,11-16
전산수학,박지연, 스마트ICT융합공학,공B364,월,02-04
전산수학,박지연, 스마트ICT융합공학,공B364,수,02-04
컴퓨터프로그래밍1,"배성준, 구태서"," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",새302,수,01-08
컴퓨터프로그래밍1,서성현," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",새302,월,13-19
컴퓨터프로그래밍1,박영재," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",새203,화,09-12
컴퓨터프로그래밍1,박영재," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",새203,목,09-12
컴퓨터프로그래밍1,박영재," 항공우주정보시스템공학과, 기계공학부, 기계항공공학부",새302,화,05-08
컴퓨터프로그래밍1,박영재," 항공우주정보시스템공학과, 기계공학부, 기계항공공학부",새302,목,05-08
컴퓨터프로그래밍1,권영구," 전기공학과, 전자공, 전기전자공학부",공B156,월,13-16
컴퓨터프로그래밍1,권영구," 전기공학과, 전자공, 전기전자공학부",공B156,수,17-19
컴퓨터프로그래밍1,권영구," 전기공학과, 전자공, 전기전자공학부",공B156,월,17-19
컴퓨터프로그래밍1,권영구," 전기공학과, 전자공, 전기전자공학부",새204,수,13-16
컴퓨터프로그래밍1,권영구," 전기공학과, 전자공, 전기전자공학부",공B156,화,13-16
컴퓨터프로그래밍1,권영구," 전기공학과, 전자공, 전기전자공학부",공B156,목,17-19
컴퓨터프로그래밍1,권영구," 전기공학과, 전자공, 전기전자공학부",공B156,화,17-19
컴퓨터프로그래밍1,권영구," 전기공학과, 전자공, 전기전자공학부",공B156,목,13-16
컴퓨터프로그래밍1,유승수," 전기공학과, 전자공, 전기전자공학부",새204,월,01-04
컴퓨터프로그래밍1,유승수," 전기공학과, 전자공, 전기전자공학부",새204,수,05-08
컴퓨터프로그래밍1,유승수," 전기공학과, 전자공, 전기전자공학부",새204,월,05-08
컴퓨터프로그래밍1,유승수," 전기공학과, 전자공, 전기전자공학부",새204,수,01-04
컴퓨터프로그래밍1,최영호," 전기공학과, 전자공, 전기전자공학부",새204,화,05-08
컴퓨터프로그래밍1,최영호," 전기공학과, 전자공, 전기전자공학부",새203,목,01-04
컴퓨터프로그래밍1,최영호," 전기공학과, 전자공, 전기전자공학부",새204,화,09-12
컴퓨터프로그래밍1,최영호," 전기공학과, 전자공, 전기전자공학부",새203,목,05-08
컴퓨터프로그래밍1,서성현," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",새302,월,01-04
컴퓨터프로그래밍1,서성현," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",새302,목,13-16
컴퓨터프로그래밍1,서성현," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",새302,월,05-08
컴퓨터프로그래밍1,서성현," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",새302,목,09-12
컴퓨터프로그래밍1,박기서," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",새203,화,13-16
컴퓨터프로그래밍1,박기서," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",새203,목,13-16
컴퓨터프로그래밍1,곽화륜," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",경영103,화,13-19
컴퓨터프로그래밍2,박영재," 항공우주정보시스템공학과, 기계공학부, 기계항공공학부",새302,금,13-19
컴퓨터프로그래밍2,윤장혁, 산업공학과,온라인(녹화,수,01-03
컴퓨터프로그래밍2,윤장혁, 산업공학과,신공408,수,04-08
컴퓨터프로그래밍2,서유화, 산업공학과,공B156,수,09-16
컴퓨터프로그래밍2,문창주, 스마트운행체공학,공B366,월,03-06
컴퓨터프로그래밍2,문창주, 스마트운행체공학,새203,화,03-06
확률과통계,박지연, 스마트ICT융합공학,공B361-2,화,10-12
확률과통계,박지연, 스마트ICT융합공학,공B361-2,목,10-12
확률과통계,박창문," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B455,수,07-12
확률과통계,권윤기," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",새504,월,01-03
확률과통계,권윤기," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",새302,목,01-03
확률과통계,엄태관," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",새601,월,10-12
확률과통계,엄태관," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",새601,목,01-03
확률과통계,김형섭," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D231,수,07-09
확률과통계,김형섭," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D231,금,10-12
확률과통계,김형섭," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D231,수,10-12
확률과통계,김형섭," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D231,금,07-09
확률과통계,엄태관," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",새601,월,13-15
확률과통계,엄태관," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",새601,화,01-03
확률과통계,김형섭, 생물공,공B565,수,01-03
확률과통계,김형섭, 생물공,공B565,금,01-03
일반화학2,이진영, 생명과학특성,동321,목,03-08
JAVA프로그래밍,임민규, 스마트ICT융합공학,신공1201,월,05-08
JAVA프로그래밍,임민규, 스마트ICT융합공학,신공1201,수,05-08
JAVA프로그래밍,임민규, 스마트ICT융합공학,신공1201,화,04-07
JAVA프로그래밍,임민규, 스마트ICT융합공학,신공1201,목,04-07
JAVA프로그래밍,지정희," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A1510,월,05-08
JAVA프로그래밍,지정희," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A1510,수,05-08
JAVA프로그래밍,지정희," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A1510,월,09-12
JAVA프로그래밍,지정희," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A1510,수,09-12
JAVA프로그래밍,지정희," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A1510,월,13-16
JAVA프로그래밍,지정희," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A1510,수,13-16
JAVA프로그래밍,지정희," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새401,화,05-08
JAVA프로그래밍,지정희," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새401,목,05-08
JAVA프로그래밍,지정희," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새401,화,09-12
JAVA프로그래밍,지정희," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새401,목,09-12
JAVA프로그래밍,지정희," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새401,화,13-16
JAVA프로그래밍,지정희," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새401,목,13-16
화장품화학개론,박세실리아, K뷰티산업융합학과,산학220,금,19-21
교육학개론,최은영," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",상허관319,화,05-08
교육학개론,최은영," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",상허관319,화,09-12
유학생한국어1,미배정, 전체,미배정,월,13-18
유학생한국어1,미배정, 전체,미배정,화,13-18
유학생한국어1,미배정, 전체,미배정,수,13-18
유학생한국어1,미배정, 전체,미배정,목,13-18
유학생한국어2,미배정, 전체,미배정,월,09-12
유학생한국어2,미배정, 전체,미배정,화,09-12
유학생한국어2,미배정, 전체,미배정,수,09-12
다시찾는조선의역사와인물,신병주, 전체,e-러닝,,
보이지않는미생물세계,"이상원, 박승용", 전체,e-러닝,,
소비자가바꾸는세상,김시월, 전체,e-러닝,,
알기쉬운화장품과피부과학이야기,배승희, 전체,e-러닝,,
최신환경문제의이해,배성준, 전체,e-러닝,,
안전및조직관리사례연구,미배정, 전체,창403,화,13-16
안전및조직관리사례연구,미배정, 전체,창403,목,13-16
조직리더십사례연구,미배정, 전체,창402,화,13-16
조직리더십사례연구,미배정, 전체,창402,목,13-16
학업프로젝트,"남영옥, 박수미", 전체,생151,화,13-16
미래소비사회와상품,김시월, 전체,e-러닝,,
저작권과스마트폰의이해,정연덕, 전체,e-러닝,,
상상과창조,미배정, 전체,e-러닝,,
음식과세계문화,미배정, 전체,e-러닝,,
색채심리와현대생활,미배정, 전체,e-러닝,,
비즈니스모델디자인과린스타트업활동,미배정, 전체,e-러닝,,
교육평가,이현숙, 전체,사201,화,09-12
교육방법및교육공학,유병민, 전체,사217,수,01-04
교육사회,전현심, 전체,사105,금,13-16
교육심리,이항심, 전체,사105,금,09-12
교육철학및교육사,정경화, 전체,상허관108,월,09-12
교육학개론,유영미, 전체,상허관316,화,13-16
교육행정및교육경영,박재은, 전체,사327,금,17-19
국어교재연구및지도법,황혜진, 국어국문학과,사327,화,07-10
동물자원교재연구및지도법,이선화," 축산식품공, 축산식품생명공학, 줄기세포재생공학",사225,월,17-19
의상교재연구및지도법,유정화, 의상디자인,예412,화,03-06
중국어교재연구및지도법,홍소영, 중어중문학과,문302,화,07-10
교육과정,김종훈, 전체,사201,월,13-16
교육봉사1,박종효, 전체,사201,금,17-19
교육봉사2,박종효, 전체,사201,목,17-19
연극영화교과교재연구및지도법,홍배연, 영상영화학과,예103,화,15-18
특수교육학개론,손서영, 전체,사301-1,수,01-04
교직실무,김종호, 전체,사105,목,17-19
교직실무,안준용, 전체,사105,금,17-19
과학교재연구및지도법,김상태," 화학과, 물리",사225,목,17-19
사회교재연구및지도법,김서연," 사학과, 지리, 지리학과",사301-1,수,17-19
사회교재연구및지도법,"김서연, 미배정"," 사학과, 지리, 지리학과",사301-1,화,17-18
사회교재연구및지도법,"김서연, 미배정"," 사학과, 지리, 지리학과",사301-1,금,17-18
생활지도및상담,최수미, 전체,사201,수,09-12
논리및논술,홍진곤," 전기공학과, 건축설계, 건축공학, 주거환경, 국어국문학과, 중어중문학과, 철학과, 사학과, 화학과, 지리, 화학공, 축산식품공, 커뮤니케이션디자인, 의상디자인, 경영, 리빙디자인, 물리, 건축, 인프라시스템, 축산식품생명공학, 줄기세포재생공학",사113,월,03-05
논리및논술,홍진곤," 전기공학과, 건축설계, 건축공학, 주거환경, 국어국문학과, 중어중문학과, 철학과, 사학과, 화학과, 지리, 화학공, 축산식품공, 커뮤니케이션디자인, 의상디자인, 경영, 리빙디자인, 물리, 건축, 인프라시스템, 축산식품생명공학, 줄기세포재생공학",사113,화,03-05
논리및논술,정용민," 전기공학과, 건축설계, 건축공학, 주거환경, 국어국문학과, 중어중문학과, 철학과, 사학과, 화학과, 지리, 화학공, 축산식품공, 커뮤니케이션디자인, 의상디자인, 경영, 리빙디자인, 물리, 건축, 인프라시스템, 축산식품생명공학, 줄기세포재생공학",사217,월,17-20
학교폭력예방및학생의이해,최은영, 전체,사201,금,09-12
상업교재연구및지도법,장홍련," 경영, 국제무역학과",사218,목,17-19
디자인교재연구및지도법,김재윤," 커뮤니케이션디자인, 리빙디자인",예1008,수,03-06
컴퓨터교재연구및지도법,오미자, 경영,상허관317,화,13-16
벤처창업및경영,이철규, 전체,e-러닝,,
사회봉사2,송지호, 전체,종강102,월,17-19
사회봉사2,송지호, 전체,종강102,월,20-21
사회봉사2,송지호, 전체,종강102,화,17-19
사회봉사2,송지호, 전체,종강102,화,20-21
사회봉사2,이예슬, 전체,종강102,수,17-19
사회봉사2,이예슬, 전체,종강102,수,20-21
사회봉사2,이예슬, 전체,종강102,목,17-19
사회봉사2,이예슬, 전체,종강102,목,20-21
대학영어1,이소영, 전체,산학220,화,07-09
대학영어1,이소영, 전체,산학220,목,10-12
대학영어1,조지, 전체,산학210,월,04-06
대학영어1,조지, 전체,산학210,수,07-09
대학영어1,조지, 전체,산학210,화,07-09
대학영어1,조지, 전체,산학210,목,07-09
대학영어1,조지, 전체,산학210,수,04-06
대학영어1,조지, 전체,산학210,금,06-08
대학영어1,션패트릭스토리, 전체,산학217,월,13-15
대학영어1,션패트릭스토리, 전체,산학217,수,13-15
대학영어1,션패트릭스토리, 전체,산학217,수,04-06
대학영어1,션패트릭스토리, 전체,산학217,금,04-06
대학영어1,맥키, 전체,산학201,월,01-03
대학영어1,맥키, 전체,산학201,수,01-03
대학영어1,맥키, 전체,산학201,화,10-12
대학영어1,맥키, 전체,산학201,목,07-09
대학영어1,맥키, 전체,산학201,수,13-15
대학영어1,맥키, 전체,산학201,금,01-03
대학영어1,조지, 전체,산학210,화,04-06
대학영어1,조지, 전체,산학210,목,04-06
대학영어1,조지, 전체,산학210,화,16-18
대학영어1,조지, 전체,산학210,목,16-18
대학영어1,션패트릭스토리, 전체,산학217,월,16-18
대학영어1,션패트릭스토리, 전체,산학217,수,16-18
대학영어1,션패트릭스토리, 전체,산학217,수,01-03
대학영어1,션패트릭스토리, 전체,산학217,금,01-03
대학영어1,구경서, 전체,종강202,수,19-21
대학영어1,구경서, 전체,공B552,토,15-19
창조적사고와표현,이명희, 전체,문209,수,01-06
창조적사고와표현,이명희, 전체,산학107,목,01-06
창조적사고와표현,이명희, 전체,산학107,금,01-06
창조적사고와표현,남원진, 전체,산학216,화,07-12
창조적사고와표현,남원진, 전체,산학216,수,07-12
창조적사고와표현,남원진, 전체,산학216,수,13-18
창조적사고와표현,남원진, 전체,산학216,목,07-12
창조적사고와표현,정영진, 전체,산학211,화,01-06
창조적사고와표현,정영진, 전체,산학211,수,01-06
창조적사고와표현,정영진, 전체,산학211,목,01-06
창조적사고와표현,정영진, 전체,산학211,목,13-18
창조적사고와표현,오정미, 전체,산학208,금,07-12
창조적사고와표현,권도경, 전체,산학208,월,07-12
창조적사고와표현,권도경, 전체,산학222,수,13-18
창조적사고와표현,박상준, 전체,산학216,화,13-18
창조적사고와표현,김혜미, 전체,산학211,금,01-06
창조적사고와표현,김혜미, 전체,산학211,금,07-12
창조적사고와표현,이지영, 전체,산학213,목,01-06
창조적사고와표현,이지영, 전체,산학213,목,07-12
창조적사고와표현,김민수, 전체,산학208,목,07-12
창조적사고와표현,김민수, 전체,산학208,목,13-18
창조적사고와표현,김효재, 전체,산학211,월,01-06
창조적사고와표현,김효재, 전체,산학211,월,07-12
창조적사고와표현,김소연, 전체,공B564,토,09-14
비판적사고와토론,이승진, 전체,산학221,수,07-12
비판적사고와토론,이승진, 전체,산학107,금,07-12
비판적사고와토론,이관후, 전체,산학213,화,13-18
비판적사고와토론,이관후, 전체,산학213,수,07-12
비판적사고와토론,박종성, 전체,산학212,월,07-12
비판적사고와토론,박종성, 전체,산학212,월,13-18
비판적사고와토론,박종성, 전체,산학212,목,13-18
비판적사고와토론,이원혁, 전체,산학212,화,07-12
비판적사고와토론,이원혁, 전체,산학212,화,13-18
비판적사고와토론,이원혁, 전체,산학212,수,07-12
비판적사고와토론,이원혁, 전체,산학212,수,13-18
비판적사고와토론,김민수, 전체,산학211,월,13-18
비판적사고와토론,김민수, 전체,산학213,목,13-18
비판적사고와토론,김범춘, 전체,산학208,수,01-06
비판적사고와토론,김범춘, 전체,산학208,목,01-06
비판적사고와토론,김화성, 전체,산학212,금,07-12
비판적사고와토론,조은평, 전체,산학216,목,13-18
비판적사고와토론,양선진, 전체,산학217,금,13-18
비판적사고와토론,김민수, 전체,공B564,토,01-06
인문사회글쓰기,이관후, 전체,산학213,월,07-12
인문사회글쓰기,이관후, 전체,산학213,화,01-06
인문사회글쓰기,오채운, 전체,산학213,월,13-18
인문사회글쓰기,오채운, 전체,산학213,수,13-18
인문사회글쓰기,권도경, 전체,산학208,월,01-06
인문사회글쓰기,권도경, 전체,산학222,수,07-12
과학기술글쓰기,이종필, 전체,산학106,화,07-12
과학기술글쓰기,이종필, 전체,산학107,화,13-18
과학기술글쓰기,이종필, 전체,산학221,목,07-12
과학기술글쓰기,이종필, 전체,산학107,목,13-18
외국인글쓰기,오정미, 전체,산학208,금,01-06
진로설계와직업탐색,미배정, 전체,종강102,월,09-12
진로설계와직업탐색,미배정, 전체,종강102,월,13-16
진로설계와직업탐색,미배정, 전체,종강102,화,09-12
진로설계와직업탐색,미배정, 전체,종강102,화,13-16
기업직무분석및역량개발,미배정, 전체,종강102,수,05-08
기업직무분석및역량개발,미배정, 전체,종강102,수,09-12
실전취업특강,미배정, 전체,종강102,목,05-08
실전취업특강,미배정, 전체,종강102,목,09-12
대학중국어,손염홍, 전체,산학107,화,01-06
대학중국어,손염홍, 전체,산학107,화,07-12
대학중국어,손염홍, 전체,산학107,수,07-12
대학중국어,손염홍, 전체,산학107,목,07-12
대학중국어,박대훈, 전체,산학217,월,07-12
대학중국어,정중석, 전체,산학207,수,07-12
대학중국어,조영경, 전체,공B551,토,15-19
컴퓨팅적사고,김현정, 전체,새304,월,07-12
컴퓨팅적사고,김현정, 전체,새304,화,07-12
컴퓨팅적사고,김현정, 전체,새304,수,01-06
컴퓨팅적사고,김현정, 전체,새304,수,07-12
컴퓨팅적사고,오경선, 전체,새301,월,07-12
컴퓨팅적사고,오경선, 전체,새301,월,13-18
컴퓨팅적사고,오경선, 전체,새301,수,07-12
컴퓨팅적사고,오경선, 전체,새301,목,07-12
컴퓨팅적사고,오경선, 전체,새301,목,13-18
컴퓨팅적사고,오미자, 전체,산학320,화,07-12
컴퓨팅적사고,문영인, 전체,새304,월,13-18
컴퓨팅적사고,문영인, 전체,새304,수,13-18
컴퓨팅적사고,박기서, 전체,산학320,월,01-06
컴퓨팅적사고,박기서, 전체,새301,금,01-06
컴퓨팅적사고,박인숙, 전체,산학320,금,01-06
컴퓨팅적사고,박인숙, 전체,산학320,금,07-12
컴퓨팅적사고,신인수, 전체,새402,월,01-06
컴퓨팅적사고,신인수, 전체,새402,월,07-12
컴퓨팅적사고,황숙희, 전체,새303,화,13-18
컴퓨팅적사고,황숙희, 전체,산학320,목,13-18
컴퓨팅적사고,김덕은, 전체,산학320,월,07-12
컴퓨팅적사고,김덕은, 전체,산학320,월,13-18
컴퓨팅적사고,한성훈, 전체,산학320,목,01-06
컴퓨팅적사고,한성훈, 전체,산학320,목,07-12
컴퓨팅적사고,강호석, 전체,새301,목,01-06
컴퓨팅적사고,서희원, 전체,새304,금,07-12
컴퓨팅적사고,서희원, 전체,새304,금,13-18
컴퓨팅적사고,이성철, 전체,새304,화,13-18
컴퓨팅적사고,조성우, 전체,산학320,수,01-06
컴퓨팅적사고,김경숙, 전체,공B156,토,01-06
여대생커리어개발,이우곤, 전체,산학223,월,09-12
외국계기업취업실전전략,미배정, 전체,종강102,월,05-08
현장실습직무이해및커리어플랜,엄상호, 전체,산학220,수,01-04
현장실습직무이해및커리어플랜,엄상호, 전체,산학220,수,05-08
면접과PT스피치실습,손미나, 전체,산학222,목,09-12
면접과PT스피치실습,손미나, 전체,산학222,목,13-16
프로그래밍을통한문제해결,김현정, 전체,새304,목,07-12
프로그래밍을통한문제해결,조승철, 전체,새303,월,13-18
프로그래밍을통한문제해결,조승철, 전체,새301,금,07-12
프로그래밍을통한문제해결,조승철, 전체,새301,금,13-18
프로그래밍을통한문제해결,김택헌, 전체,새303,목,13-18
프로그래밍을통한문제해결,김택헌, 전체,새303,금,01-06
프로그래밍을통한문제해결,김택헌, 전체,새303,금,07-12
프로그래밍을통한문제해결,김택헌, 전체,새303,금,13-18
프로그래밍을통한문제해결,문영인, 전체,새301,월,01-06
프로그래밍을통한문제해결,문영인, 전체,새301,수,01-06
프로그래밍을통한문제해결,박인숙, 전체,산학320,수,07-12
프로그래밍을통한문제해결,박인숙, 전체,산학320,수,13-18
프로그래밍을통한문제해결,신인수, 전체,새504,화,07-12
프로그래밍을통한문제해결,신인수, 전체,새504,화,13-18
프로그래밍을통한문제해결,강호석, 전체,새301,화,13-18
프로그래밍을통한문제해결,조성우, 전체,새303,수,13-18
프로그래밍을통한문제해결,양숙희, 전체,새303,월,01-06
프로그래밍을통한문제해결,양숙희, 전체,새303,월,07-12
프로그래밍을통한문제해결,이화주, 전체,새303,목,01-06
프로그래밍을통한문제해결,이화주, 전체,새303,목,07-12
프로그래밍을통한문제해결,장은실, 전체,새301,화,01-06
프로그래밍을통한문제해결,장은실, 전체,새301,화,07-12
프로그래밍을통한문제해결,진동욱, 전체,새304,목,01-06
프로그래밍을통한문제해결,진동욱, 전체,새304,목,13-18
프로그래밍을통한문제해결,최수경, 전체,새303,수,01-06
프로그래밍을통한문제해결,최수경, 전체,새303,수,07-12
프로그래밍을통한문제해결,최희식, 전체,새303,화,01-06
프로그래밍을통한문제해결,최희식, 전체,새303,화,07-12
프로그래밍을통한문제해결,김경숙, 전체,공B156,토,09-14
프로그래밍을통한문제해결,김경숙, 전체,공B156,토,15-19
대학일본어,최정민, 전체,산학207,목,01-06
대학일본어,최정민, 전체,산학207,목,07-12
대학일본어,박경애, 전체,산학218,화,07-12
대학일본어,박경애, 전체,산학218,수,01-06
대학스페인어,신태식, 전체,산학219,목,07-12
대학스페인어,신태식, 전체,산학219,목,13-18
대학도이치어,송휘재, 전체,산학218,월,13-18
대학도이치어,송휘재, 전체,산학218,화,13-18
대학프랑스어,박하성, 전체,산학221,목,13-18
대학프랑스어,박하성, 전체,산학213,금,07-12
대학프랑스어,박하성, 전체,산학213,금,13-18
과학기술글쓰기(국제),박수경, 전체,산학220,월,07-12
과학기술글쓰기(국제),박수경, 전체,산학222,화,13-18
비판적사고와토론(국제),강지은, 전체,산학218,금,07-12
비판적사고와토론(국제),강지은, 전체,산학218,금,13-18
인문사회글쓰기(국제),손상미, 전체,산학221,화,01-06
인문사회글쓰기(국제),손상미, 전체,산학221,화,07-12
한국어기초글쓰기와표현,최수진, 전체,산학221,월,01-06
한국어기초글쓰기와표현,최수진, 전체,종강204,수,07-12
한국어기초글쓰기와표현,이연주, 전체,산학212,목,01-06
한국어기초글쓰기와표현,이연주, 전체,산학212,목,07-12
한국어기초학습대화,박혜란, 전체,산학220,수,13-18
창조적사고와표현(국제),황주하, 전체,종강210,수,07-12
창조적사고와표현(국제),황주하, 전체,종강210,수,13-18
STARTUP BASE CAMP,김지연, 전체,종강202,목,13-16
비즈니스모델,"방혜민, 임교순", 전체,종강210,화,07-12
창업의기회,이자현, 전체,종강208,월,01-04
창업트렌드와융복합적사고,백병성, 전체,종강210,수,01-06
창업트렌드와융복합적사고,이화자, 전체,공B551,토,01-06
창업트렌드와융복합적사고,이화자, 전체,공B551,토,09-14
PATH,이소영, 전체,산학220,화,01-06
컴퓨터의이해와활용,"김의찬, 최수진", 전체,새504,수,01-06
컴퓨터의이해와활용,"김의찬, 최수진", 전체,상허관101,수,13-18
컴퓨터의이해와활용,"김룡빈, 박혜란", 전체,상허관104,월,07-12
경제통합과세계화,박기임, 전체,종강203,월,01-04
고급영문독해,조지, 전체,산학213,금,01-04
교육과인간,주민호, 전체,생151,화,03-06
논리와사고,김화성, 전체,산학215,금,13-16
대중소비사회와소비자교육,김시월, 전체,온라인(녹화,화,19-20
독일작가와문화기행,사지원, 전체,종강208,화,09-12
동양의지혜,서세영, 전체,종강208,월,09-12
러시아문화기행,전병국, 전체,종강202,월,01-04
레저스포츠(스포츠댄스),진현주, 전체,체육관206,수,05-08
매스미디어론,정성은, 전체,상허관123,수,03-06
매스미디어론,정성은, 전체,상허관123,수,07-10
문화중국어,정중석, 전체,산학207,수,13-16
발명과특허,정연덕, 전체,온라인(녹화,목,20-21
사회와회계,심충진, 전체,온라인(녹화,월,20-21
생활과공간,김진영, 전체,산학202,월,13-16
생활과원예,류명화, 전체,종강202,화,09-12
생활법률,황도수, 전체,종강201,월,13-16
생활스포츠(볼링),황혜정, 전체,체육관116,수,09-12
성과문학,김윤아, 전체,산학214,수,09-12
식생활과건강,신재형, 전체,종강209,수,05-08
식생활과건강,신재형, 전체,종강209,수,13-16
신화와영화,김윤아, 전체,산학215,목,05-08
신화와영화,김윤아, 전체,산학215,목,13-16
신화와철학,김길수, 전체,종강202,수,09-12
신화와철학,김길수, 전체,종강202,목,09-12
알프스지역전설과요들송,정광흠, 전체,온라인(녹화,금,21-22
