과목명,교수,전공,강의실,요일,강의시간
공업생물학,유희준," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공A204,월,07-12
산업과기술,서철승, 신산업융합학과,종강113,화,19-21
산업과기술,서철승, 신산업융합학과,종강113,목,19-21
공업확률과통계,김경미, 산업공학과,공B455,월,13-15
공업확률과통계,김경미, 산업공학과,공B455,수,13-15
공학화학및실험,배성준," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B559-1,월,14-17
공학화학및실험,배성준," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",신공807,화,14-17
공학화학및실험,홍기호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B558,화,04-07
공학화학및실험,홍기호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B558,목,04-07
공학화학및실험,홍기호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B558,화,10-13
공학화학및실험,홍기호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B558,목,10-13
공학화학및실험,홍기호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B558,화,14-17
공학화학및실험,홍기호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B558,목,14-17
이미지메이킹,김영희, K뷰티산업융합학과,산학220,월,19-21
공학수학2,강철구," 항공우주정보시스템공학과, 기계공학부, 기계항공공학부",공A406,화,16-18
공학수학2,강철구," 항공우주정보시스템공학과, 기계공학부, 기계항공공학부",공A406,목,16-18
공학수학2,이병욱," 항공우주정보시스템공학과, 기계공학부, 기계항공공학부",공B552,화,13-15
공학수학2,이병욱," 항공우주정보시스템공학과, 기계공학부, 기계항공공학부",공B552,목,13-15
공학수학2,이창진," 항공우주정보시스템공학과, 기계공학부, 기계항공공학부",공D234,화,01-03
공학수학2,이창진," 항공우주정보시스템공학과, 기계공학부, 기계항공공학부",공D234,목,01-03
공학수학2,노재형," 전기공학과, 전자공, 전기전자공학부",공B366,월,07-09
공학수학2,노재형," 전기공학과, 전자공, 전기전자공학부",공B366,수,10-12
공학수학2,김미현," 전기공학과, 전자공, 전기전자공학부",새601,월,01-03
공학수학2,김미현," 전기공학과, 전자공, 전기전자공학부",새601,수,04-06
공학수학2,남영우," 전기공학과, 전자공, 전기전자공학부",새602,월,04-06
공학수학2,남영우," 전기공학과, 전자공, 전기전자공학부",새602,수,01-03
공학수학2,이은경," 전기공학과, 전자공, 전기전자공학부",새602,화,10-12
공학수학2,이은경," 전기공학과, 전자공, 전기전자공학부",새602,목,07-09
벡터미적분학,이정욱," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",공D234,화,16-18
벡터미적분학,이정욱," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",공D234,목,16-18
벡터미적분학,김미현," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새601,월,04-06
벡터미적분학,김미현," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새601,수,01-03
벡터미적분학,조영경," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새503,화,01-03
벡터미적분학,조영경," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새503,목,04-06
벡터미적분학,조영경," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새503,화,04-06
벡터미적분학,조영경," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새503,목,01-03
벡터미적분학,안소영," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",공B475,월,16-18
벡터미적분학,안소영," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",공B473,수,13-15
벡터미적분학,안소영," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",공B360,월,13-15
벡터미적분학,안소영," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",공B475,수,16-18
벡터미적분학,남영우," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새602,월,01-03
벡터미적분학,남영우," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새602,수,04-06
벡터미적분학,안수엽," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새503,월,10-12
벡터미적분학,안수엽," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새503,금,13-15
벡터미적분학,안수엽," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새503,월,13-15
벡터미적분학,안수엽," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새503,금,10-12
벡터미적분학,홍석영," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새602,화,01-03
벡터미적분학,홍석영," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새602,목,04-06
벡터미적분학,홍석영," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새602,화,04-06
벡터미적분학,홍석영," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새602,목,01-03
벡터미적분학,이은경," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새602,화,07-09
벡터미적분학,이은경," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새602,목,10-12
벡터미적분학,김선영," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새503,수,01-06
벡터미적분학,송원희," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새503,목,10-15
벡터미적분학,연윤정," 전기공학과, 항공우주정보시스템공학과, 융합신소재공, 화학공, 생물공, 유기나노시스템공, 전자공, 기계공학부, 전기전자공학부, 화학공학부, 기계항공공학부, 산업공학과",새602,금,04-09
뷰티산업과전산실무,이영희, K뷰티산업융합학과,산학320,토,03-08
의복구성2,이소영, 의상디자인,예623,목,11-18
의복구성2,장자문, 의상디자인,예623,월,11-18
의복구성2,최창숙, 의상디자인,예623,금,11-18
미술비평,이준희, 현대미술,예414,화,05-08
드로잉2,김재남, 현대미술,예409,수,11-14
드로잉2,김재남, 현대미술,예409-1,수,15-18
드로잉2,김재남, 현대미술,예409,금,11-14
드로잉2,김재남, 현대미술,예409-1,금,15-18
디지털워크샵2,남수현, 현대미술,예222,목,03-08
디지털워크샵2,남수현, 현대미술,예222,목,11-16
텍스트와상상력,김은영, 현대미술,예413,월,01-08
디자인읽기와쓰기2,양유진, 산업디자인,예719,화,03-08
디자인읽기와쓰기2,양유진, 산업디자인,예719,화,11-16
입체기초2,김지민, 현대미술,예409,화,03-05
입체기초2,김지민, 현대미술,예409-1,화,06-08
입체기초2,김지민, 현대미술,예409,화,11-13
입체기초2,김지민, 현대미술,예409-1,화,14-16
패션과문화,이은아, 의상디자인,예413,화,11-16
패션과문화,황진숙, 의상디자인,예413,금,03-08
4D조형실습2,권태훈, 산업디자인,예719,수,03-08
4D조형실습2,권태훈, 산업디자인,예719,수,11-16
디자인시각화2,조예진, 산업디자인,예719,목,03-08
디자인시각화2,양효정, 산업디자인,예719,금,03-08
디지털디자인2,권경범, 산업디자인,예715,월,03-08
디지털디자인2,권경범, 산업디자인,예715,월,11-16
기능조형디자인2,이예슬, 산업디자인,예720,월,17-20
기능조형디자인2,박지홍, 산업디자인,예702,목,11-16
패션소재개발,이은정, 의상디자인,예1003,화,03-08
패션소재개발,김경미, 의상디자인,예618,수,03-08
패션소재개발,김경미, 의상디자인,예618,수,11-16
패션컬러실습,고현진, 의상디자인,예618,화,01-08
패션컬러실습,현정원, 의상디자인,예620,수,11-18
패션컬러실습,강정현, 의상디자인,예618,월,01-08
CAD2,김효원, 리빙디자인,예1008,수,11-16
CAD2,김화언, 리빙디자인,예1008,목,11-16
공예디자인론,박소영, 리빙디자인,예413,수,03-06
사운드와표현,박승원, 영상영화학과,예412,월,03-10
사운드와표현,박승원, 영상영화학과,예412,월,11-18
현대미술사론,배혜정, 현대미술,예415,수,03-06
그리기2,김병진, 커뮤니케이션디자인,예821,월,11-16
그리기2,김병진, 커뮤니케이션디자인,예821,화,11-16
글자로표현하기,이경진, 커뮤니케이션디자인,예801,화,03-08
